arsenic,cadmium,lead,mercury
0.01530885114808656,0.00018277198278999053,0.0010868387238842142,0.079
0.061,0.13,0.017,0.010485387741923154
0.015838091294433206,0.078,0.0027704963722576187,0.0037621089395167054
0.013709586539399245,0.078,0.0031734029168125556,0.005313066960864217
0.064,0.0028160512770098334,0.095,0.00871634210906175
0.063,0.0025056498662753327,0.11,0.010947474866150957
0.009896126454626807,0.247,0.018,0.0044488465236698135
0.087,0.285,0.537,0.0037355657250179664
0.215,0.079,1.192,0.023
0.028,0.036,0.026,0.0063106908756948
0.02,0.029,0.024,0.006281851326157604
0.029,0.004,0.007,0.005331022963913096
0.012436638655632522,0.00342846936534019,0.0011141183636947383,0.0033311849647020293
0.0006689898289121334,0.022,0.028,0.002208540452931096
0.03,0.084,0.011,0.0062765794485809216
0.017,0.065,0.011,6.566639200832014e-05
0.03,0.109,0.011,0.004439585917786504
0.017,0.172,0.017,0.003767574778296885
0.027,0.073,0.01,0.008468850734678965
0.007377311628744537,0.09,0.011,0.005568092898441948
0.0021772260930647998,0.061,0.009,0.009537636155640475
0.02,0.088,0.016,0.003556345830858563
0.010162357170423394,0.002301896579992315,0.001437124525690008,0.005221374516236296
0.065,0.003151180796586283,0.003751460693695754,0.008681652059642313
0.01238915252705413,0.137,0.0025821956098997577,0.010171556604372195
0.0107213012039339,0.0030365476748074483,0.000832214077682607,0.000618365653096709
0.0057135167365004345,0.0019731326385447547,0.0022861479857700933,0.008748360508411683
0.017,0.023,0.022,0.007394722030061751
0.114,0.025,0.053,0.016
0.00983826686056079,0.0003284075326765641,0.003622590601034608,0.000207831924547058
0.059,0.051,0.094,0.0015082424967176227
0.0092754121453656,0.025,0.012,0.008731128836724479
0.077,0.047,0.01,0.0031085010460048064
0.069,0.054,0.079,0.0017525043892340116
0.173,0.043,0.187,0.007886631068107573
0.039,0.083,0.054,0.0008774717891730892
0.0016343567066532216,0.003055096829451743,0.0025503338143530625,0.0022713590760409636
0.0038237667465846367,0.0014657449921724917,0.0003455254571446735,0.0017106632391964062
0.084,0.00031878648125862073,0.086,0.0017414526358112872
0.008298762419598333,0.001899744008938404,0.0006997444047581403,0.005767591329397867
0.092,0.00039884702855512314,0.0015050162989344237,0.001442571549449592
0.002638779164538329,0.0011926636039799221,0.003410422256777314,0.005911036022771743
0.144,0.0037607743881025867,0.0011574331645376964,0.004805315419800645
0.056,0.0011902355251344466,0.002027558263279329,0.009352196456616299
0.062,0.0013893619817265668,0.0011732061823973533,0.005580650340766999
0.053,0.0022294586744419226,0.0034773630009128833,0.005191169588418767
0.083,0.0005002413863584506,0.00014955761574214456,0.010649133792322574
0.24,0.633,0.446,0.018
0.052,0.015,0.08,0.0032303995953488927
0.056,0.034,0.163,0.004691141383632942
0.015391075383785317,0.0023628742783684724,0.05,0.010692152051566248
0.012564269981989479,0.003892132416640144,0.053,0.010360536653247886
0.093,0.0035311298946828014,0.085,0.0015346277471802155
0.094,0.0011585929160581202,0.104,0.010297862758949177
0.636,0.048,0.659,0.012
0.073,0.0017871935872881078,0.1,0.008434292510628926
0.119,0.0004011125708355241,0.184,0.0038643687030607936
0.006563548109289736,0.0003140087029749634,0.0022171614096199244,0.007053720710859688
0.010144975814336887,0.0037090243092337124,0.05,0.003646029987377834
0.014372411522858577,0.002812687241707228,0.0002697537021864429,0.002261141447807518
0.076,0.0028448352906284484,0.139,0.0025863150773022944
0.007014484451182067,0.00048402453141959214,0.0014658387674635863,0.010277675389087087
0.005714882610490127,0.0010396339808192354,0.00014704707945679109,0.010973035302060348
0.005657710050614203,0.0004991426071499556,0.0013506026857726635,0.010334001472304889
0.007808709764531221,0.0011947754959556556,0.003284187683292223,0.001186326723367087
0.007570696813261863,0.00342485463812204,0.0016477488616847178,0.008617501534160042
0.013791695724097114,0.015,0.028,0.005545494206553188
0.008380264690319373,0.0036973047957483134,0.0014364827754746146,0.00218800786938446
0.0022994086537188015,0.0010964965234119069,0.0014558775713224854,0.006931968101723082
0.015978504288122072,0.0038564408098854587,0.002771833678143967,0.010651948494812167
0.0024454797961144053,0.0010994991703356242,0.0023054324312168487,0.0012148951051192364
